Time,Node,Latitude,Longitude
1332892803.0,7893F,43.2208416667,-6.41048166667
1332892815.0,B0178,43.2021279,-6.6158066
1332892818.0,B0145,43.2374624,-6.5113603
1332892826.0,B0114,43.2257553,-6.87709
1332892832.0,B0146,43.2377087,-6.5103255
1332892847.0,B0177,43.2375223,-6.5106303
1332892856.0,B0114,43.2257414,-6.8770736
1332892863.0,7893F,43.2202833333,-6.40864833333
1332892878.0,B0145,43.2375141,-6.5110213
1332892886.0,B0114,43.2257519,-6.8770441
1332892893.0,B0146,43.2376872,-6.5103132
1332892916.0,B0114,43.2256672,-6.8769655
1332892924.0,7893F,43.2260233333,-6.40739666667
1332892935.0,B0178,43.2021783,-6.6158275
1332892938.0,B0145,43.2375267,-6.5108836
1332892946.0,B0114,43.2256715,-6.8770198
1332892953.0,B0146,43.2377433,-6.510307
1332892955.0,0052F,43.2021133333,-6.61553
1332892967.0,B0177,43.2375178,-6.5106504
1332892976.0,B0114,43.2256468,-6.8770567
1332892984.0,7893F,43.226765,-6.40109166667
1332892998.0,B0145,43.2375402,-6.5108025
1332893006.0,B0114,43.2257086,-6.8770745
1332893013.0,B0146,43.237707,-6.5103017
1332893014.0,0052F,43.2014966667,-6.61537166667
1332893036.0,B0114,43.2257949,-6.8771425
1332893045.0,7893F,43.2309416667,-6.40789833333
1332893055.0,B0178,43.2021631,-6.6157151
1332893058.0,B0145,43.237579,-6.5108241
1332893066.0,B0114,43.2258483,-6.8771113
1332893073.0,B0146,43.2377768,-6.5102071
1332893075.0,0052F,43.2006066667,-6.614995
1332893087.0,B0177,43.237519,-6.5106512
1332893096.0,B0114,43.2258736,-6.877149
1332893105.0,7893F,43.2349666667,-6.41138
1332893126.0,B0114,43.2258078,-6.8771859
1332893133.0,B0146,43.2377742,-6.5102862
1332893135.0,0052F,43.200345,-6.61428666667
1332893156.0,B0114,43.2256542,-6.8771355
1332893165.0,7893F,43.2368033333,-6.41058833333
1332893176.0,B0178,43.202159,-6.6157269
1332893186.0,B0114,43.2257646,-6.8771503
1332893193.0,B0146,43.2377371,-6.5103348
1332893195.0,0052F,43.2007766667,-6.61691
1332893207.0,B0177,43.2375047,-6.5106322
1332893216.0,B0114,43.2258725,-6.8771298
1332893226.0,7893F,43.2380683333,-6.41023166667
1332893247.0,B0114,43.2257016,-6.8770127
1332893253.0,B0146,43.237717,-6.5102944
1332893256.0,0052F,43.1987766667,-6.613755
1332893277.0,B0114,43.225703,-6.8769761
1332893295.0,B0178,43.2021306,-6.6159635
1332893307.0,B0114,43.2256839,-6.8769737
1332893313.0,B0146,43.2378035,-6.5102831
1332893328.0,B0177,43.2374967,-6.5106387
1332893336.0,B0145,43.2375444,-6.5107291
1332893337.0,B0114,43.2256023,-6.8770269
1332893367.0,B0114,43.2257223,-6.8770523
1332893373.0,B0146,43.2377399,-6.5103101
1332893396.0,B0145,43.2373863,-6.5113519
1332893397.0,B0114,43.2257412,-6.8770258
1332893416.0,B0178,43.2021357,-6.6157819
1332893427.0,B0114,43.2258068,-6.8770371
1332893433.0,B0146,43.2377286,-6.5103331
1332893448.0,B0177,43.2375049,-6.5106457
1332893456.0,B0145,43.2373631,-6.5114219
1332893457.0,B0114,43.2257098,-6.876993
1332893487.0,B0114,43.2255896,-6.8769204
1332893493.0,B0146,43.237705,-6.5103794
1332893516.0,B0145,43.2374887,-6.5110185
1332893517.0,B0114,43.2256088,-6.8769621
1332893536.0,B0178,43.2021348,-6.6157198
1332893547.0,B0114,43.2256131,-6.876992
1332893553.0,B0146,43.2377755,-6.5103875
1332893568.0,B0177,43.2375089,-6.5106223
1332893576.0,B0145,43.2375693,-6.510813
1332893577.0,B0114,43.2256019,-6.8769908
1332893607.0,B0114,43.2257342,-6.8770747
1332893614.0,B0146,43.2378156,-6.510349
1332893636.0,B0145,43.2375683,-6.5108563
1332893637.0,B0114,43.2257268,-6.8770617
1332893656.0,B0178,43.2021499,-6.6158356
1332893668.0,B0114,43.2256497,-6.8769986
1332893673.0,B0146,43.2377761,-6.5103404
1332893688.0,B0177,43.2375132,-6.5106374
1332893696.0,B0145,43.237544,-6.5108102
1332893697.0,B0114,43.2255434,-6.876995
1332893727.0,B0114,43.2256226,-6.8770401
1332893734.0,B0146,43.2378094,-6.5102781
1332893740.0,0052F,43.1987816667,-6.61376166667
1332893756.0,B0145,43.2375674,-6.5108591
1332893757.0,B0114,43.2257042,-6.8770874
1332893776.0,B0178,43.2021254,-6.6158466
1332893787.0,B0114,43.225708,-6.8770903
1332893794.0,B0146,43.2377448,-6.5102385
1332893808.0,B0177,43.2375056,-6.5106477
1332893816.0,B0145,43.2375643,-6.5108892
1332893817.0,B0114,43.2257174,-6.8770857
1332893847.0,B0114,43.2257348,-6.8771109
1332893854.0,B0146,43.2377522,-6.5102651
1332893861.0,0052F,43.2076633333,-6.60608166667
1332893876.0,B0145,43.2375928,-6.5108619
1332893877.0,B0114,43.2256472,-6.8770809
1332893897.0,B0178,43.2021205,-6.6158343
1332893907.0,B0114,43.2256395,-6.8771531
1332893914.0,B0146,43.2376937,-6.5104546
1332893921.0,0052F,43.21301,-6.597375
1332893928.0,B0177,43.2375198,-6.5106471
1332893936.0,B0145,43.2375543,-6.5108591
1332893937.0,B0114,43.2256447,-6.877197
1332893967.0,B0114,43.2256963,-6.8772378
1332893974.0,B0146,43.2377178,-6.5102942
1332893982.0,0052F,43.21412,-6.58449
1332893996.0,B0145,43.2375491,-6.5108759
1332893997.0,B0114,43.2256213,-6.8771347
1332894016.0,B0178,43.2021462,-6.6157901
1332894027.0,B0114,43.225905,-6.8771468
1332894034.0,B0146,43.2377165,-6.510319
1332894041.0,0052F,43.217355,-6.579385
1332894048.0,B0177,43.2375088,-6.5106265
1332894056.0,B0145,43.2375001,-6.5108647
1332894057.0,B0114,43.225878,-6.8771064
1332894087.0,B0114,43.2256657,-6.8769171
1332894094.0,B0146,43.2377142,-6.5102968
1332894102.0,0052F,43.2207716667,-6.56995
1332894116.0,B0145,43.2374749,-6.5109213
1332894117.0,B0114,43.2256216,-6.8769621
1332894137.0,B0178,43.2021342,-6.6157308
1332894147.0,B0114,43.2256458,-6.8770455
1332894154.0,B0146,43.2377887,-6.5102867
1332894162.0,0052F,43.2237483333,-6.560415
1332894168.0,B0177,43.2375012,-6.5106426
1332894176.0,B0145,43.2375375,-6.5109108
1332894177.0,B0114,43.2257035,-6.8771737
1332894207.0,B0114,43.225676,-6.877132
1332894214.0,B0146,43.2377786,-6.5103156
1332894222.0,0052F,43.2278333333,-6.561375
1332894236.0,B0145,43.2375344,-6.5109409
1332894237.0,B0114,43.2256528,-6.8771529
1332894257.0,B0178,43.2021229,-6.6157407
1332894267.0,B0114,43.2256517,-6.8771511
1332894274.0,B0146,43.2379402,-6.5103759
1332894283.0,0052F,43.23173,-6.56291166667
1332894289.0,B0177,43.2375239,-6.5106456
1332894296.0,B0145,43.2375771,-6.5108703
1332894297.0,B0114,43.2257082,-6.8771647
1332894327.0,B0114,43.225708,-6.8771946
1332894334.0,B0146,43.2377417,-6.5102548
1332894343.0,0052F,43.225565,-6.55288
1332894357.0,B0114,43.2256518,-6.8771405
1332894357.0,B0145,43.237593,-6.5108213
1332894377.0,B0178,43.2021336,-6.6157834
1332894387.0,B0114,43.2256393,-6.877124
1332894394.0,B0146,43.2377446,-6.5103328
1332894403.0,0052F,43.22833,-6.53834166667
1332894409.0,B0177,43.2375103,-6.510627
1332894417.0,B0114,43.2256395,-6.8771162
1332894417.0,B0145,43.2376215,-6.5107941
1332894447.0,B0114,43.2256405,-6.8771276
1332894454.0,B0146,43.2377717,-6.5103044
1332894464.0,0052F,43.2354583333,-6.52325166667
1332894477.0,B0114,43.225656,-6.8771036
1332894477.0,B0145,43.237595,-6.5108346
1332894497.0,B0178,43.202162,-6.6156848
1332894507.0,B0114,43.2256198,-6.8770495
1332894514.0,B0146,43.2378194,-6.5103408
1332894524.0,0052F,43.2310666667,-6.52505833333
1332894529.0,B0177,43.2375036,-6.5106448
1332894537.0,B0114,43.2257629,-6.8770848
1332894537.0,B0145,43.2375933,-6.5108402
1332894567.0,B0114,43.2257503,-6.8770913
1332894574.0,B0146,43.2377784,-6.5102893
1332894583.0,0052F,43.220515,-6.524895
1332894597.0,B0114,43.2257188,-6.8771244
1332894597.0,B0145,43.2375693,-6.510813
1332894617.0,B0178,43.2022171,-6.6156562
1332894627.0,B0114,43.2256707,-6.8771426
1332894634.0,B0146,43.2377802,-6.5102609
1332894644.0,0052F,43.2094316667,-6.527925
1332894649.0,B0177,43.2375106,-6.5106486
1332894657.0,B0114,43.2256253,-6.8770854
1332894657.0,B0145,43.2375685,-6.5108158
1332894687.0,B0114,43.2256063,-6.8770671
1332894694.0,B0146,43.2377267,-6.510216
1332894704.0,0052F,43.20067,-6.53158833333
1332894717.0,B0114,43.2256031,-6.8770616
1332894717.0,B0145,43.2375926,-6.5108025
1332894737.0,B0178,43.2021339,-6.6157744
1332894747.0,B0114,43.2256485,-6.8770333
1332894754.0,B0146,43.2377729,-6.510268
1332894765.0,0052F,43.1945133333,-6.54450666667
1332894769.0,B0177,43.2375,-6.5106353
1332894777.0,B0114,43.2256884,-6.8771012
1332894777.0,B0145,43.237593,-6.5108213
1332894807.0,B0114,43.2257273,-6.8772172
1332894814.0,B0146,43.2378491,-6.5103717
1332894825.0,0052F,43.1865616667,-6.54397666667
1332894837.0,B0114,43.2257573,-6.8772913
1332894837.0,B0145,43.2376554,-6.5108514
1332894857.0,B0178,43.2022101,-6.6158017
1332894867.0,B0114,43.2257246,-6.8772344
1332894874.0,B0146,43.2377758,-6.5103655
1332894885.0,0052F,43.1795783333,-6.55077833333
1332894889.0,B0177,43.2375091,-6.510648
1332894897.0,B0114,43.2256481,-6.8770646
1332894897.0,B0145,43.237615,-6.5108947
1332894927.0,B0114,43.2256126,-6.8770415
1332894934.0,B0146,43.2377509,-6.5103488
1332894946.0,0052F,43.1769333333,-6.54900333333
